iteration,epoch,reward_mean,reward_std,reward_min,reward_max,wall_s
1,1,0.42333984375,0.09328983542135946,0.203125,0.609375,193.844074010849
2,1,0.3037109375,0.09912470167386933,0.09375,0.59375,194.36028265953064
3,1,0.32861328125,0.10919938293673938,0.109375,0.5,200.56833624839783
4,1,0.4072265625,0.09897064667773266,0.140625,0.546875,196.6667456626892
5,1,0.3994140625,0.10110605816447694,0.125,0.609375,200.00370836257935
6,1,0.40283203125,0.09700834879389389,0.1875,0.59375,199.53761434555054
7,1,0.46240234375,0.1004186924984616,0.234375,0.609375,193.07636094093323
8,1,0.353515625,0.08421117631761757,0.140625,0.484375,203.8360469341278
9,1,0.419921875,0.08493287072327695,0.21875,0.5625,200.28236031532288
10,1,0.35595703125,0.08402836556837681,0.140625,0.484375,203.44211077690125
11,1,0.421875,0.074321474962658,0.296875,0.625,192.4465274810791
12,1,0.40185546875,0.08297764847158555,0.234375,0.515625,195.3468952178955
13,1,0.49462890625,0.11155810777582444,0.21875,0.671875,191.90214133262634
14,1,0.4462890625,0.07976190421965923,0.28125,0.59375,196.2502579689026
15,1,0.4736328125,0.07217979489114211,0.3125,0.625,191.00961232185364
16,1,0.45263671875,0.09993317278475225,0.265625,0.640625,197.42813372612
17,1,0.47412109375,0.0804923902433327,0.328125,0.609375,199.35303592681885
18,1,0.46728515625,0.10484184161068202,0.21875,0.640625,196.32077598571777
19,1,0.46337890625,0.07366253078582395,0.25,0.578125,191.11627912521362
20,1,0.45361328125,0.06623189138843649,0.296875,0.53125,195.53955912590027
21,1,0.4609375,0.07861176483397699,0.203125,0.578125,196.58593916893005
22,1,0.51123046875,0.06252860368412622,0.296875,0.59375,190.82634258270264
23,1,0.447265625,0.06751713288063908,0.3125,0.578125,196.20452189445496
24,1,0.38330078125,0.06274176567124884,0.265625,0.53125,199.61742854118347
