seed,arm,baseline,acc_arm,acc_baseline,delta_pts,gained,lost,p_mcnemar_exact
0,1.5B-ES,1.5B-base,0.247475,0.242424,0.51,17,16,1.0
1,1.5B-ES,1.5B-base,0.292929,0.222222,7.07,20,6,0.0094
2,1.5B-ES,1.5B-base,0.20202,0.207071,-0.51,13,14,1.0
3,1.5B-ES,1.5B-base,0.242424,0.227273,1.52,21,18,0.7493
4,1.5B-ES,1.5B-base,0.287879,0.237374,5.05,18,8,0.0755
5,1.5B-ES,1.5B-base,0.282828,0.257576,2.53,19,14,0.4869
6,1.5B-ES,1.5B-base,0.212121,0.237374,-2.53,10,15,0.4244
7,1.5B-ES,1.5B-base,0.252525,0.287879,-3.54,15,22,0.324
8,1.5B-ES,1.5B-base,0.257576,0.237374,2.02,12,8,0.5034
9,1.5B-ES,1.5B-base,0.227273,0.222222,0.51,13,12,1.0
0,1.5B-RL,1.5B-base,0.237374,0.242424,-0.51,2,3,1.0
1,1.5B-RL,1.5B-base,0.232323,0.222222,1.01,6,4,0.7539
2,1.5B-RL,1.5B-base,0.181818,0.207071,-2.53,2,7,0.1797
3,1.5B-RL,1.5B-base,0.232323,0.227273,0.51,3,2,1.0
4,1.5B-RL,1.5B-base,0.262626,0.237374,2.53,7,2,0.1797
5,1.5B-RL,1.5B-base,0.282828,0.257576,2.53,6,1,0.125
6,1.5B-RL,1.5B-base,0.217172,0.237374,-2.02,3,7,0.3438
7,1.5B-RL,1.5B-base,0.262626,0.287879,-2.53,5,10,0.3018
8,1.5B-RL,1.5B-base,0.237374,0.237374,0.0,4,4,1.0
9,1.5B-RL,1.5B-base,0.222222,0.222222,0.0,5,5,1.0
0,1.5B-ES,1.5B-RL,0.247475,0.237374,1.01,17,15,0.8601
1,1.5B-ES,1.5B-RL,0.292929,0.232323,6.06,19,7,0.029
2,1.5B-ES,1.5B-RL,0.20202,0.181818,2.02,14,10,0.5413
3,1.5B-ES,1.5B-RL,0.242424,0.232323,1.01,19,17,0.8679
4,1.5B-ES,1.5B-RL,0.287879,0.262626,2.53,14,9,0.4049
5,1.5B-ES,1.5B-RL,0.282828,0.282828,0.0,16,16,1.0
6,1.5B-ES,1.5B-RL,0.212121,0.217172,-0.51,14,15,1.0
7,1.5B-ES,1.5B-RL,0.252525,0.262626,-1.01,17,19,0.8679
8,1.5B-ES,1.5B-RL,0.257576,0.237374,2.02,14,10,0.5413
9,1.5B-ES,1.5B-RL,0.227273,0.222222,0.51,13,12,1.0
0,7B-ES,7B-base,0.252525,0.267677,-1.52,7,10,0.6291
1,7B-ES,7B-base,0.222222,0.257576,-3.54,9,16,0.2295
2,7B-ES,7B-base,0.237374,0.277778,-4.04,11,19,0.2005
3,7B-ES,7B-base,0.282828,0.272727,1.01,9,7,0.8036
4,7B-ES,7B-base,0.252525,0.267677,-1.52,11,14,0.69
5,7B-ES,7B-base,0.242424,0.222222,2.02,13,9,0.5235
6,7B-ES,7B-base,0.272727,0.267677,0.51,14,13,1.0
7,7B-ES,7B-base,0.227273,0.217172,1.01,9,7,0.8036
8,7B-ES,7B-base,0.262626,0.277778,-1.52,12,15,0.7011
9,7B-ES,7B-base,0.247475,0.217172,3.03,15,9,0.3075
0,7B-RL,7B-base,0.267677,0.267677,0.0,3,3,1.0
1,7B-RL,7B-base,0.277778,0.257576,2.02,4,0,0.125
2,7B-RL,7B-base,0.282828,0.277778,0.51,4,3,1.0
3,7B-RL,7B-base,0.287879,0.272727,1.52,5,2,0.4531
4,7B-RL,7B-base,0.267677,0.267677,0.0,2,2,1.0
5,7B-RL,7B-base,0.232323,0.222222,1.01,3,1,0.625
6,7B-RL,7B-base,0.267677,0.267677,0.0,2,2,1.0
7,7B-RL,7B-base,0.222222,0.217172,0.51,4,3,1.0
8,7B-RL,7B-base,0.277778,0.277778,0.0,1,1,1.0
9,7B-RL,7B-base,0.217172,0.217172,0.0,2,2,1.0
0,7B-ES,7B-RL,0.252525,0.267677,-1.52,9,12,0.6636
1,7B-ES,7B-RL,0.222222,0.277778,-5.56,7,18,0.0433
2,7B-ES,7B-RL,0.237374,0.282828,-4.55,11,20,0.1496
3,7B-ES,7B-RL,0.282828,0.287879,-0.51,8,9,1.0
4,7B-ES,7B-RL,0.252525,0.267677,-1.52,9,12,0.6636
5,7B-ES,7B-RL,0.242424,0.232323,1.01,11,9,0.8238
6,7B-ES,7B-RL,0.272727,0.267677,0.51,15,14,1.0
7,7B-ES,7B-RL,0.227273,0.222222,0.51,11,10,1.0
8,7B-ES,7B-RL,0.262626,0.277778,-1.52,11,14,0.69
9,7B-ES,7B-RL,0.247475,0.217172,3.03,15,9,0.3075
