doc_id,n_seeds,1.5B-ES,1.5B-RL,1.5B-base,7B-ES,7B-RL,7B-base
0,10,1,4,4,3,3,3
1,10,5,2,2,3,5,5
2,10,5,2,2,3,3,2
3,10,4,3,4,1,1,0
4,10,3,6,5,3,3,3
5,10,1,2,2,3,1,1
6,10,2,3,3,1,3,2
7,10,2,2,2,3,1,1
8,10,1,0,0,5,5,4
9,10,1,0,0,5,6,5
10,10,1,1,1,3,2,2
11,10,1,1,1,1,1,1
12,10,1,1,1,4,4,4
13,10,1,1,1,1,1,1
14,10,0,1,1,1,0,0
15,10,5,2,1,2,3,2
16,10,4,4,4,4,4,4
17,10,3,1,3,2,4,3
18,10,2,3,3,1,1,1
19,10,4,4,4,3,4,4
20,10,3,3,3,1,3,3
21,10,2,1,1,1,1,1
22,10,1,1,1,1,3,2
23,10,2,4,4,2,4,2
24,10,2,2,3,3,3,4
25,10,1,0,0,4,4,4
26,10,2,1,1,3,4,4
27,10,2,1,2,2,3,3
28,10,0,1,1,1,2,2
29,10,1,3,3,3,3,2
30,10,1,1,1,1,1,1
31,10,4,4,4,4,4,4
32,10,1,1,1,1,1,1
33,10,3,4,4,5,4,4
34,10,3,3,3,4,4,4
35,10,3,3,3,2,3,3
36,10,5,1,2,1,3,3
37,10,2,3,3,3,3,3
38,10,4,3,3,2,3,3
39,10,2,2,2,2,2,2
40,10,2,2,3,1,2,2
41,10,2,2,1,3,3,2
42,10,5,3,3,3,4,4
43,10,6,6,6,3,3,3
44,10,4,3,3,3,3,3
45,10,3,2,2,3,2,2
46,10,0,0,0,2,2,1
47,10,1,1,0,2,3,3
48,10,0,0,1,4,4,4
49,10,3,3,2,3,4,2
50,10,2,4,4,0,0,0
51,10,4,4,4,3,3,3
52,10,1,1,2,2,5,4
53,10,3,4,4,3,4,4
54,10,1,2,2,2,2,2
55,10,4,5,5,2,2,2
56,10,3,5,4,1,2,2
57,10,4,4,4,5,5,5
58,10,1,2,1,3,2,3
59,10,2,1,1,3,3,3
60,10,2,2,2,2,2,2
61,10,1,1,1,2,2,2
62,10,1,1,1,2,1,1
63,10,3,1,1,0,3,1
64,10,2,2,1,5,6,6
65,10,3,3,2,5,5,5
66,10,3,3,3,3,3,3
67,10,4,3,3,4,3,3
68,10,1,0,0,4,4,4
69,10,3,3,3,4,5,3
70,10,2,4,4,2,2,2
71,10,3,4,6,2,4,5
72,10,2,5,5,5,5,5
73,10,2,3,3,4,5,5
74,10,3,3,3,3,3,3
75,10,2,2,1,2,2,2
76,10,1,1,1,3,3,3
77,10,3,2,2,2,3,3
78,10,1,0,0,3,2,1
79,10,4,2,3,3,4,3
80,10,4,6,6,4,4,4
81,10,3,4,4,3,3,3
82,10,0,0,0,0,0,0
83,10,4,6,6,4,4,4
84,10,4,4,4,3,4,4
85,10,2,2,2,0,0,0
86,10,3,4,4,4,4,4
87,10,4,5,5,4,4,4
88,10,4,4,4,2,2,2
89,10,3,1,2,4,6,5
90,10,4,3,3,2,3,3
91,10,3,2,2,1,1,1
92,10,0,0,0,4,3,3
93,10,1,0,0,2,1,1
94,10,2,4,4,3,3,3
95,10,4,4,4,3,3,3
96,10,2,2,2,5,4,4
97,10,5,3,3,2,4,4
98,10,2,3,2,6,4,4
99,10,2,1,2,4,2,3
100,10,3,2,2,3,2,3
101,10,4,3,2,4,4,4
102,10,3,3,3,2,3,3
103,10,2,1,1,2,2,2
104,10,2,1,1,2,2,2
105,10,2,1,2,3,1,1
106,10,1,1,1,3,3,3
107,10,0,0,0,0,0,0
108,10,3,1,1,0,1,1
109,10,3,5,6,5,3,3
110,10,1,0,0,2,0,1
111,10,1,2,2,2,2,2
112,10,1,1,1,2,2,2
113,10,4,4,4,3,3,2
114,10,1,1,1,1,1,1
115,10,3,3,3,3,5,5
116,10,0,0,1,0,0,0
117,10,3,3,2,3,3,5
118,10,3,2,3,1,2,2
119,10,1,1,1,2,3,3
120,10,4,2,3,2,3,3
121,10,4,3,2,0,0,0
122,10,1,2,2,2,3,3
123,10,3,1,2,3,2,2
124,10,2,3,3,4,3,3
125,10,4,2,2,3,3,3
126,10,1,1,1,1,1,1
127,10,3,4,3,2,3,4
128,10,1,2,2,2,1,2
129,10,3,2,2,2,2,2
130,10,1,2,2,2,1,1
131,10,4,3,3,1,4,4
132,10,2,2,2,4,0,0
133,10,2,4,5,5,3,3
134,10,5,4,4,2,0,1
135,10,3,3,3,2,3,3
136,10,4,3,4,4,3,3
137,10,4,4,4,2,2,2
138,10,6,2,3,1,2,1
139,10,3,2,1,1,0,1
140,10,0,1,2,0,0,0
141,10,2,3,2,2,2,2
142,10,1,1,1,1,0,0
143,10,1,3,3,4,3,2
144,10,3,4,4,1,3,2
145,10,4,5,5,2,2,3
146,10,4,2,2,1,0,0
147,10,4,4,5,3,4,4
148,10,2,2,2,4,4,4
149,10,3,3,2,4,3,3
150,10,2,2,1,2,2,2
151,10,1,1,1,2,2,2
152,10,1,0,0,2,0,0
153,10,2,4,3,4,3,3
154,10,5,3,3,3,3,3
155,10,2,1,0,3,2,3
156,10,2,2,2,2,2,2
157,10,1,1,1,1,2,2
158,10,4,3,3,3,3,3
159,10,3,3,3,3,3,3
160,10,5,4,4,6,7,7
161,10,4,4,4,1,1,1
162,10,3,2,2,2,2,2
163,10,6,6,6,2,2,2
164,10,2,3,3,2,2,2
165,10,2,2,2,2,2,2
166,10,0,0,0,1,1,1
167,10,3,3,3,3,3,3
168,10,3,2,2,3,2,2
169,10,2,0,1,2,3,3
170,10,4,4,3,4,4,4
171,10,5,5,5,5,5,5
172,10,1,1,1,2,2,2
173,10,0,0,0,1,0,0
174,10,7,9,9,5,6,6
175,10,6,0,0,0,0,0
176,10,4,4,4,4,3,3
177,10,2,2,2,1,1,2
178,10,2,4,3,4,2,2
179,10,3,2,2,2,5,5
180,10,2,1,2,0,6,6
181,10,0,0,0,0,0,0
182,10,2,0,0,1,2,2
183,10,1,5,4,3,3,2
184,10,1,1,1,4,2,2
185,10,5,2,2,6,5,5
186,10,3,3,2,2,1,1
187,10,4,1,1,1,0,2
188,10,2,2,2,2,2,2
189,10,0,0,0,2,2,2
190,10,3,3,3,3,3,3
191,10,4,3,4,3,3,3
192,10,1,3,3,1,2,2
193,10,2,2,2,3,2,2
194,10,4,3,3,3,3,3
195,10,1,1,1,1,1,1
196,10,4,3,2,1,2,2
197,10,1,3,3,3,2,2
