_step,global_step,train/reward/mean,train/reward/min,train/reward/max,train/reward/std,train/response-length/mean,train/response-length/min,train/response-length/max,train/response-length/std
1,0,0.013916015625,0.0,0.03515625,0.008839778803824059,1708.0904541015625,1159.90625,2001.47265625,204.06571848811788
2,1,0.0206298828125,0.0,0.0546875,0.011440144175908098,1787.9775390625,1383.6796875,2038.8515625,161.3009935492692
3,2,0.0172119140625,0.0,0.05859375,0.012839452725390464,1750.314453125,1047.203125,2040.26953125,212.1649152509145
4,3,0.027587890625,0.0,0.109375,0.02194415469186227,1649.5093994140625,990.69140625,1970.14453125,210.98179389243083
5,4,0.028564453125,0.0,0.0703125,0.01783229597883315,1585.379638671875,1062.37890625,2003.9609375,229.00821557453764
6,5,0.042724609375,0.015625,0.08203125,0.01744025522430272,1529.2642822265625,820.5859375,1837.3515625,262.5834374811428
7,6,0.0340576171875,0.00390625,0.09765625,0.021994008180317576,1565.641357421875,944.59375,1854.66796875,229.87694405285455
8,7,0.0452880859375,0.0078125,0.13671875,0.03358664326570682,1534.42529296875,768.5625,1867.23828125,224.29442688321114
9,8,0.066162109375,0.015625,0.1484375,0.031703519124024894,1465.244384765625,983.4140625,1844.09765625,231.75365521231987
10,9,0.0833740234375,0.01171875,0.203125,0.045034350688849145,1472.665771484375,577.62109375,1855.26171875,262.06241313431144
11,10,0.105712890625,0.0390625,0.23046875,0.048099420858850134,1434.016357421875,916.87109375,1815.6953125,200.6889103577358
12,11,0.125244140625,0.046875,0.26171875,0.05871518584798841,1354.27978515625,894.171875,1831.23828125,238.31410620273417
13,12,0.145751953125,0.05859375,0.25,0.04808454819879436,1310.19189453125,854.66015625,1812.03125,207.99052849109995
14,13,0.1871337890625,0.08203125,0.3125,0.05667731313641913,1272.486083984375,932.08203125,1667.5234375,189.57851786955155
15,14,0.208251953125,0.05859375,0.33984375,0.07810325319887644,1195.34423828125,803.08203125,1736.58984375,241.41294449742725
16,15,0.2139892578125,0.07421875,0.40625,0.08114719856559967,1158.790771484375,711.2109375,1684.7578125,229.7661991924179
17,16,0.2371826171875,0.13671875,0.34375,0.05341925750237837,1121.2958984375,770.875,1541.2890625,183.22746176245454
18,17,0.2728271484375,0.1640625,0.3671875,0.05737759186618703,1021.00439453125,808.78125,1400.9765625,139.19107345272775
19,18,0.2587890625,0.12890625,0.375,0.05590340539594418,1062.676513671875,778.00390625,1443.69921875,142.7113465603839
20,19,0.3271484375,0.1875,0.4296875,0.05290589871320913,981.419189453125,802.6015625,1240.6640625,124.24168486158557
21,20,0.3206787109375,0.17578125,0.39453125,0.05173347908795035,992.41552734375,774.0078125,1273.8984375,115.0123816904679
22,21,0.3299560546875,0.2421875,0.41015625,0.036330019993733226,942.4478759765625,787.70703125,1123.640625,83.05837902934238
23,22,0.3585205078125,0.265625,0.41796875,0.042810147353081106,915.476806640625,753.1953125,1129.55078125,93.72996871029504
24,23,0.40234375,0.32421875,0.47265625,0.03989589495276464,820.919921875,649.69140625,1095.0078125,98.29503262038892
25,24,0.4000244140625,0.3203125,0.45703125,0.037210227048099696,895.2142333984375,752.22265625,1158.1953125,97.39246811163915
26,25,0.398193359375,0.2890625,0.45703125,0.0361319876911772,862.39404296875,756.296875,1170.60546875,87.51184546671716
27,26,0.35205078125,0.2890625,0.43359375,0.029904984370669064,872.783203125,747.8515625,1046.12890625,61.35488433763571
28,27,0.4190673828125,0.3515625,0.47265625,0.02895692044294423,838.955810546875,745.6640625,992.109375,56.79583358492023
29,28,0.371337890625,0.31640625,0.42578125,0.025389451219863923,849.13916015625,748.81640625,957.828125,52.620730725267215
30,29,0.4295654296875,0.3515625,0.50390625,0.031996163480969335,802.1124267578125,716.73046875,904.359375,47.02879875344201
31,30,0.384521484375,0.32421875,0.4296875,0.028670675891883192,846.1671142578125,784.078125,967.36328125,50.3175319238903
32,31,0.4190673828125,0.31640625,0.51953125,0.04194940561184913,807.03515625,728.203125,988.48046875,67.37092837768296
33,32,0.429443359375,0.359375,0.46484375,0.023252391979268892,813.63330078125,755.58984375,908.98828125,41.70277069901757
34,33,0.3720833333333334,0.26666666666666666,0.44,0.043251123941722286,812.62625,707.72,982.4,58.755765909433656
35,34,0.4329833984375,0.390625,0.4765625,0.02117383377754946,792.2509765625,693.63671875,929.953125,48.5739648214896
36,35,0.4097900390625,0.33203125,0.46875,0.027454424719312476,802.1121826171875,728.63671875,909.765625,37.56292089946084
37,36,0.439697265625,0.390625,0.484375,0.020943509278583176,753.33154296875,701.15625,842.21875,29.779925510058423
38,37,0.4161376953125,0.36328125,0.4453125,0.0177128187744487,802.1068115234375,687.78515625,917.73828125,51.768110106663094
39,38,0.4447021484375,0.38671875,0.48046875,0.02188261444536037,776.0816650390625,701.01953125,875.75,42.29843432547028
40,39,0.462646484375,0.44140625,0.48828125,0.013387724483257027,774.0792236328125,699.5234375,868.3359375,33.64315374250137
41,40,0.45263671875,0.390625,0.49609375,0.024428706545603494,768.5577392578125,691.41015625,858.91796875,40.76581909711752
42,41,0.4664306640625,0.4140625,0.5078125,0.022007554209489757,773.099853515625,687.86328125,901.28515625,49.98114937143331
43,42,0.4482421875,0.40234375,0.51171875,0.027151247606362977,778.3404541015625,711.5,849.16015625,36.01521642105637
44,43,0.41845703125,0.375,0.46484375,0.020055227322180517,806.2735595703125,734.70703125,876.421875,37.83315157651917
45,44,0.478515625,0.43359375,0.515625,0.021595062878414045,743.88232421875,699.5390625,818.04296875,27.825685504479026
46,45,0.4404296875,0.40625,0.47265625,0.016744558788556883,755.6243896484375,684.515625,848.03125,30.455421578168416
47,46,0.4112548828125,0.36328125,0.453125,0.021841718696591454,814.4671630859375,747.625,886.63671875,33.12632020240317
48,47,0.3795166015625,0.34375,0.4375,0.021707589005530863,810.5345458984375,746.8515625,917.13671875,35.223697021911505
49,48,0.4461669921875,0.39453125,0.4921875,0.02191799570509253,777.971435546875,729.68359375,842.37109375,26.24284009811938
50,49,0.43212890625,0.39453125,0.47265625,0.01922985221437033,759.6844482421875,711.08984375,835.70703125,35.69678581918428
52,50,0.42822265625,0.390625,0.47265625,0.01984008755264653,786.7685546875,699.875,944.23046875,45.589515348194126
